player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Magneuris Sierra,642423,2022,,,,,,,,,,,,,97,
Travis Demeritte,641513,2022,,,,,,,,,,,,,75,
Josh VanMeter,642165,2022,,,,,,,,,,,,,23,
Andrew Velazquez,623205,2022,1,2,3,18,1,16,39,33,18,2,7,7,93,81
Luis Rengifo,650859,2022,24,60,46,38,12,38,27,12,15,85,1,67,67,5
Daulton Varsho,662139,2022,26,7,45,68,12,78,70,25,25,27,46,45,69,99
Jack Mayfield,608686,2022,,,,,,,,,,,,,48,
Mitch Garver,641598,2022,,,,,,,,,,,,,28,
Omar Narváez,553882,2022,,,,,,,,,,,,,2,
Andrés Giménez,665926,2022,62,66,51,41,75,41,33,29,36,56,21,39,94,98
Steven Kwan,680757,2022,46,82,14,3,85,3,1,3,1,100,67,100,78,96
JJ Bleday,668709,2022,,,,,,,,,,,,,61,
Michael Harris II,671739,2022,71,82,83,77,42,60,69,61,76,29,10,26,95,92
Hunter Renfroe,592669,2022,58,37,74,79,32,76,76,78,70,37,43,35,45,28
Luis Arraez,650333,2022,69,97,55,25,87,25,11,48,7,100,51,100,38,15
J.P. Crawford,641487,2022,49,62,10,5,88,6,4,3,5,93,86,96,38,2
Will Brennan,686823,2022,,,,,,,,,,,,,52,
Trevor Larnach,663616,2022,,,,,,,,,,,,,42,
Austin Slater,596103,2022,,,,,,,,,,,,,74,75
Jose Siri,642350,2022,,,,,,,,,,,,,100,99
Willson Contreras,575929,2022,94,64,85,83,94,67,73,76,90,49,63,12,56,
Luke Voit,572228,2022,57,16,73,86,35,89,94,66,73,4,67,1,6,
Brandon Drury,592273,2022,51,41,65,71,32,80,72,51,62,42,31,67,43,71
Miguel Sanó,593934,2022,,,,,,,,,,,,,34,
Cal Stevenson,670276,2022,,,,,,,,,,,,,58,
J.J. Matijevic,656695,2022,,,,,,,,,,,,,34,
Darick Hall,669742,2022,,,,,,,,,,,,,27,
Joey Wendle,621563,2022,9,55,8,5,17,1,3,22,28,92,5,90,49,83
Kurt Suzuki,435559,2022,,,,,,,,,,,,,4,
Rafael Ortega,542364,2022,39,39,16,13,71,10,20,16,16,57,90,82,42,
Giancarlo Stanton,519317,2022,86,37,89,95,64,92,98,99,98,8,85,3,5,
Ronald Acuña Jr.,660670,2022,95,85,92,87,91,83,88,86,92,34,72,47,82,6
Jorge Mateo,622761,2022,6,16,15,26,3,34,31,12,13,13,12,12,99,97
Bryan Reynolds,668804,2022,66,53,63,63,71,63,50,73,66,40,61,29,75,6
Rafael Devers,646240,2022,92,95,94,88,85,92,82,98,96,67,48,26,13,24
Kerry Carpenter,681481,2022,,,,,,,,,,,,,48,
Garrett Hampson,641658,2022,,,,,,,,,,,,,96,48
Victor Reyes,622682,2022,,,,,,,,,,,,,54,26
Josh Naylor,647304,2022,64,66,71,66,55,63,57,57,65,82,43,80,11,80
Rhys Hoskins,656555,2022,74,35,78,83,61,88,78,72,73,25,80,42,19,4
Cedric Mullins,656775,2022,17,24,18,21,24,41,24,47,33,64,36,63,80,96
Wynton Bernard,592144,2022,,,,,,,,,,,,,99,
Ryan Kreidler,668952,2022,,,,,,,,,,,,,76,
Stone Garrett,656448,2022,,,,,,,,,,,,,83,
Byron Buxton,621439,2022,91,41,96,98,55,74,97,97,93,7,58,6,92,
Oscar Gonzalez,660757,2022,54,93,66,41,44,34,46,42,51,58,4,37,88,9
Garrett Mitchell,669003,2022,,,,,,,,,,,,,99,
Chris Owings,572008,2022,,,,,,,,,,,,,62,
Austin Romine,519222,2022,,,,,,,,,,,,,6,
Luke Williams,663897,2022,,,,,,,,,,,,,87,
Stephen Vogt,519390,2022,,,,,,,,,,,,,17,
James McCann,543510,2022,,,,,,,,,,,,,22,
Hanser Alberto,593643,2022,,,,,,,,,,,,,19,
Matt Reynolds,608703,2022,,,,,,,,,,,,,51,43
Lars Nootbaar,663457,2022,82,49,62,63,92,51,85,90,80,54,98,56,74,64
Gilberto Celestino,665482,2022,4,11,1,3,24,2,6,18,19,42,63,57,65,79
Carlos Correa,621043,2022,93,89,92,84,88,86,81,67,74,54,76,65,45,18
Javier Báez,595879,2022,15,23,37,48,5,67,52,31,38,26,8,4,67,72
Andrew Vaughn,683734,2022,53,62,63,59,42,67,50,82,90,75,17,74,25,1
Seth Brown,664913,2022,74,57,81,80,57,86,90,53,59,19,63,19,63,6
Paul DeJong,657557,2022,,,,,,,,,,,,,60,87
Jordan Groshans,677954,2022,,,,,,,,,,,,,27,
Ernie Clement,676391,2022,,,,,,,,,,,,,75,
Adam Engel,641553,2022,,,,,,,,,,,,,92,82
Cristian Pache,665506,2022,,,,,,,,,,,,,83,94
Spencer Torkelson,679529,2022,37,20,37,51,37,38,56,78,61,27,63,43,62,37
Jon Berti,542932,2022,38,29,25,26,54,20,31,33,32,43,77,51,97,86
Anthony Santander,623993,2022,88,66,87,87,73,94,82,72,68,63,53,67,30,12
Josh Bell,605137,2022,84,86,68,51,96,67,45,48,55,83,93,66,25,14
Diego Castillo,660636,2022,,,,,,,,,,,,,49,32
Jonah Heim,641680,2022,21,19,27,37,23,38,43,55,49,59,61,69,21,
Isiah Kiner-Falefa,643396,2022,19,74,8,2,48,1,1,8,7,92,29,99,79,17
Sean Murphy,669221,2022,80,62,76,74,78,83,73,43,59,55,63,54,23,
Adolis García,666969,2022,57,44,79,81,23,96,88,92,86,12,21,8,66,67
Shea Langeliers,669127,2022,,,,,,,,,,,,,85,
Brett Phillips,621433,2022,,,,,,,,,,,,,88,
Akil Baddoo,668731,2022,,,,,,,,,,,,,89,43
Jorge Soler,624585,2022,,,,,,,,,,,,,41,
Tyler Naquin,571980,2022,,,,,,,,,,,,,60,
Cal Raleigh,663728,2022,61,8,84,97,18,76,96,84,69,9,63,11,37,
Elvis Andrus,462101,2022,22,46,27,20,28,31,18,31,22,83,32,69,22,84
Charlie Blackmon,453568,2022,31,64,36,24,39,29,15,8,8,63,16,69,63,
Willie Calhoun,641432,2022,,,,,,,,,,,,,19,
Juan Lagares,501571,2022,,,,,,,,,,,,,54,
Kyle Lewis,641786,2022,,,,,,,,,,,,,2,
Charlie Culberson,518586,2022,,,,,,,,,,,,,65,
Jose Herrera,645444,2022,,,,,,,,,,,,,10,
Jason Delay,641511,2022,,,,,,,,,,,,,23,
Kyle Higashioka,543309,2022,,,,,,,,,,,,,19,
Danny Jansen,643376,2022,,,,,,,,,,,,,53,
Avisaíl García,541645,2022,12,23,29,35,5,20,36,43,75,10,9,2,74,
Brandon Marsh,669016,2022,16,20,33,44,8,31,47,53,39,1,21,21,89,93
Daniel Vogelbach,596129,2022,85,29,70,77,92,57,75,57,49,27,99,76,2,
Mark Canha,592192,2022,58,46,27,21,88,25,24,25,29,71,58,64,52,29
Eduardo Escobar,500871,2022,47,42,69,72,28,72,61,38,34,33,41,29,66,8
José Abreu,547989,2022,96,98,92,76,98,88,63,93,97,82,61,58,20,64
Nick Solak,669256,2022,,,,,,,,,,,,,85,
Triston Casas,671213,2022,,,,,,,,,,,,,7,
Edmundo Sosa,624641,2022,,,,,,,,,,,,,96,97
Yu Chang,644374,2022,,,,,,,,,,,,,80,81
Christian Vázquez,543877,2022,31,74,35,19,35,23,25,31,29,82,14,89,13,
Michael Chavis,656308,2022,1,9,10,23,1,34,47,5,43,9,9,14,89,9
Travis d'Arnaud,518595,2022,47,49,60,62,28,47,57,41,45,49,9,37,24,
Bryce Harper,547180,2022,98,97,97,97,96,74,88,92,88,55,81,24,57,
Nelson Cruz,443558,2022,54,39,50,57,55,60,60,84,81,35,67,11,13,
Jesús Aguilar,542583,2022,26,37,47,53,16,41,43,25,27,35,16,35,2,
Miguel Rojas,500743,2022,22,77,16,6,41,5,3,7,3,95,12,92,29,98
Marcell Ozuna,542303,2022,72,64,90,90,32,86,90,57,72,31,21,22,32,
Austin Meadows,640457,2022,,,,,,,,,,,,,47,
Luis Urías,649966,2022,62,32,49,60,73,47,54,18,24,50,79,63,29,31
Owen Miller,680911,2022,21,48,14,9,37,10,10,6,10,57,32,86,90,91
Rougned Odor,596059,2022,9,5,11,33,8,34,37,29,14,39,32,33,43,9
Anthony Bemboom,621532,2022,,,,,,,,,,,,,39,
Conner Capel,668843,2022,,,,,,,,,,,,,56,
Dee Strange-Gordon,543829,2022,,,,,,,,,,,,,78,
Jake Hager,606993,2022,,,,,,,,,,,,,46,
Livan Soto,670869,2022,,,,,,,,,,,,,54,
Ryan Jeffers,680777,2022,,,,,,,,,,,,,22,
Rowdy Tellez,642133,2022,84,58,90,91,75,94,88,86,80,55,77,55,1,14
Enrique Hernández,571771,2022,24,32,22,23,39,23,29,29,22,72,53,50,40,87
Jose Miranda,669304,2022,52,59,58,57,42,38,33,55,63,64,18,52,25,16
Taylor Ward,621493,2022,92,82,89,82,88,88,86,69,66,48,79,63,79,68
Randy Arozarena,668227,2022,31,26,41,47,30,70,50,67,56,30,37,24,86,51
Nathaniel Lowe,663993,2022,80,88,82,74,70,83,68,73,75,41,41,47,44,2
Cooper Hummel,669450,2022,,,,,,,,,,,,,88,
Sam Haggerty,664059,2022,,,,,,,,,,,,,90,
Connor Wong,657136,2022,,,,,,,,,,,,,88,
Mickey Moniak,666160,2022,,,,,,,,,,,,,72,
Sergio Alcántara,642727,2022,,,,,,,,,,,,,57,35
Ozzie Albies,645277,2022,17,20,16,24,26,13,26,25,31,56,49,72,15,
Juan Soto,665742,2022,99,80,95,94,99,94,86,85,86,90,100,83,33,1
René Pinto,650907,2022,,,,,,,,,,,,,39,
Yermín Mercedes,606213,2022,,,,,,,,,,,,,19,
Luis Torrens,620443,2022,,,,,,,,,,,,,20,
Johan Camargo,622666,2022,,,,,,,,,,,,,7,
Matt Duffy,622110,2022,,,,,,,,,,,,,37,29
Jake Fraley,641584,2022,,,,,,,,,,,,,69,
Mitch Haniger,571745,2022,,,,,,,,,,,,,39,
Matt Chapman,656305,2022,78,26,77,82,68,89,88,93,97,14,84,22,77,72
Yadier Molina,425877,2022,,,,,,,,,,,,,1,
Eddie Rosario,592696,2022,,,,,,,,,,,,,56,
Jesús Sánchez,660821,2022,26,20,42,58,18,38,68,61,53,17,43,19,48,24
Kole Calhoun,594777,2022,23,17,41,58,10,45,66,82,89,4,25,4,12,35
Colin Moran,592567,2022,,,,,,,,,,,,,2,
Starling Marte,516782,2022,72,89,70,53,69,45,41,12,17,61,12,54,68,31
Alec Burleson,676475,2022,,,,,,,,,,,,,10,
Tres Barrera,668663,2022,,,,,,,,,,,,,3,
Danny Mendick,664901,2022,,,,,,,,,,,,,21,
Austin Barnes,605131,2022,,,,,,,,,,,,,33,
Yan Gomes,543228,2022,,,,,,,,,,,,,27,
Andrew Knizner,668800,2022,,,,,,,,,,,,,17,
Sheldon Neuse,641914,2022,,,,,,,,,,,,,29,7
Adley Rutschman,668939,2022,79,51,60,61,91,45,50,31,31,69,96,88,47,
Gio Urshela,570482,2022,58,82,63,47,57,57,44,48,34,74,41,69,17,11
